payment_id,policy_id,payment_date,amount_paid,payment_method,status
PAY00055,POL0008,2023-10-10,199.07,Bank Transfer,On-time
PAY00056,POL0008,2023-11-09,199.07,Direct Debit,On-time
PAY00057,POL0008,2024-02-07,0.0,iDEAL,Missed
PAY00058,POL0009,2024-02-09,103.68,iDEAL,Late
PAY00059,POL0009,2024-02-18,0.0,Direct Debit,Missed
PAY00060,POL0009,2024-03-19,103.68,Direct Debit,On-time
PAY00061,POL0009,2024-04-18,103.68,iDEAL,On-time
PAY00062,POL0009,2024-05-18,0.0,iDEAL,Missed
PAY00063,POL0009,2024-07-20,103.68,iDEAL,On-time
PAY00064,POL0009,2024-08-19,103.68,iDEAL,On-time
PAY00065,POL0009,2024-09-15,103.68,Direct Debit,On-time
PAY00066,POL0009,2024-11-17,103.68,iDEAL,On-time
PAY00067,POL0009,2025-01-09,103.68,Direct Debit,Late
PAY00068,POL0010,2022-01-11,191.79,Bank Transfer,On-time
PAY00069,POL0010,2022-02-11,191.79,iDEAL,On-time
PAY00070,POL0010,2022-04-12,191.79,Direct Debit,On-time
PAY00071,POL0010,2022-05-09,0.0,Bank Transfer,Missed
PAY00072,POL0010,2022-07-10,191.79,Bank Transfer,On-time
PAY00073,POL0011,2024-06-04,247.21,Bank Transfer,Late
PAY00074,POL0011,2024-07-30,247.21,Direct Debit,On-time
PAY00075,POL0011,2024-08-28,247.21,Direct Debit,On-time
PAY00076,POL0011,2024-11-24,247.21,Direct Debit,On-time
PAY00077,POL0012,2023-10-01,74.65,iDEAL,On-time
PAY00078,POL0012,2023-10-29,0.0,iDEAL,Missed
PAY00079,POL0012,2024-04-01,74.65,Direct Debit,Late
PAY00080,POL0012,2024-06-09,74.65,Bank Transfer,Late
PAY00081,POL0013,2023-11-01,90.94,Bank Transfer,On-time
PAY00082,POL0013,2023-11-30,90.94,iDEAL,On-time
PAY00083,POL0013,2024-06-28,90.94,Bank Transfer,On-time
PAY00084,POL0014,2023-02-06,0.0,Bank Transfer,Missed
PAY00085,POL0014,2023-03-11,93.1,Direct Debit,On-time
PAY00086,POL0014,2023-04-30,93.1,Direct Debit,Late
PAY00087,POL0014,2023-05-08,93.1,iDEAL,On-time
PAY00088,POL0014,2023-06-07,93.1,Bank Transfer,On-time
PAY00089,POL0014,2023-07-09,93.1,Bank Transfer,On-time
PAY00090,POL0014,2023-11-06,93.1,Direct Debit,On-time
PAY00091,POL0014,2023-12-06,93.1,Bank Transfer,On-time
PAY00092,POL0015,2021-10-21,138.32,Bank Transfer,On-time
PAY00093,POL0015,2021-11-19,138.32,Bank Transfer,On-time
PAY00094,POL0015,2021-12-18,138.32,Bank Transfer,On-time
PAY00095,POL0015,2022-01-16,138.32,Bank Transfer,On-time
PAY00096,POL0015,2022-04-24,138.32,iDEAL,Late
PAY00097,POL0015,2022-05-16,138.32,Direct Debit,On-time
PAY00098,POL0015,2022-08-16,138.32,iDEAL,On-time
PAY00099,POL0016,2021-12-19,169.68,Direct Debit,On-time
PAY00100,POL0016,2022-02-15,169.68,Bank Transfer,On-time
PAY00101,POL0016,2022-03-19,169.68,iDEAL,On-time
PAY00102,POL0017,2021-06-19,190.15,Bank Transfer,On-time
PAY00103,POL0017,2021-07-19,190.15,iDEAL,On-time
PAY00104,POL0017,2021-08-16,190.15,Bank Transfer,On-time
PAY00105,POL0017,2021-09-17,190.15,Direct Debit,On-time
PAY00106,POL0017,2021-10-21,190.15,iDEAL,Late
PAY00107,POL0017,2022-01-06,190.15,Bank Transfer,Late
PAY00108,POL0017,2022-02-28,190.15,Bank Transfer,Late
PAY00109,POL0018,2023-11-25,57.61,Direct Debit,On-time
PAY00110,POL0018,2023-12-26,57.61,iDEAL,On-time
PAY00111,POL0018,2024-02-24,57.61,Bank Transfer,On-time
PAY00112,POL0018,2024-03-22,57.61,iDEAL,On-time
PAY00113,POL0018,2024-04-24,57.61,Direct Debit,On-time
PAY00114,POL0018,2024-05-22,57.61,iDEAL,On-time
PAY00115,POL0018,2024-09-21,57.61,Bank Transfer,On-time
PAY00116,POL0018,2024-10-19,57.61,Bank Transfer,On-time
PAY00117,POL0018,2024-11-20,57.61,Direct Debit,On-time
PAY00118,POL0019,2023-04-12,60.5,Direct Debit,On-time
PAY00119,POL0019,2023-05-29,60.5,Bank Transfer,Late
PAY00120,POL0019,2023-07-12,60.5,Bank Transfer,On-time
PAY00121,POL0019,2023-11-07,60.5,Direct Debit,On-time
PAY00122,POL0019,2024-01-05,0.0,iDEAL,Missed
PAY00123,POL0019,2024-02-14,60.5,Bank Transfer,Late
PAY00124,POL0019,2024-04-04,60.5,Direct Debit,On-time
PAY00125,POL0020,2023-07-11,82.77,Bank Transfer,On-time
PAY00126,POL0020,2023-09-08,82.77,Direct Debit,On-time
PAY00127,POL0020,2023-11-09,82.77,iDEAL,On-time
PAY00128,POL0020,2023-12-10,82.77,iDEAL,On-time
PAY00129,POL0020,2024-03-06,82.77,Bank Transfer,On-time
PAY00130,POL0020,2024-04-06,82.77,Bank Transfer,On-time
PAY00131,POL0020,2024-06-04,82.77,Direct Debit,On-time
PAY00132,POL0021,2024-04-27,97.3,Direct Debit,On-time
PAY00133,POL0021,2024-06-29,97.3,iDEAL,On-time
PAY00134,POL0021,2024-08-28,97.3,Bank Transfer,On-time
PAY00135,POL0021,2024-10-27,97.3,Direct Debit,On-time
PAY00136,POL0021,2024-12-26,97.3,iDEAL,On-time
PAY00137,POL0021,2025-02-22,97.3,Bank Transfer,On-time
PAY00138,POL0022,2023-12-27,113.78,Direct Debit,On-time
PAY00139,POL0022,2024-01-25,113.78,Bank Transfer,On-time
PAY00140,POL0022,2024-06-23,113.78,iDEAL,On-time
PAY00141,POL0023,2024-08-08,147.16,iDEAL,On-time
PAY00142,POL0023,2024-10-04,0.0,Direct Debit,Missed
PAY00143,POL0023,2024-11-06,147.16,Direct Debit,On-time
PAY00144,POL0023,2024-12-30,147.16,iDEAL,Late
PAY00145,POL0023,2025-02-03,147.16,iDEAL,On-time
PAY00146,POL0023,2025-03-06,147.16,Bank Transfer,On-time
PAY00147,POL0024,2023-07-28,253.43,Direct Debit,On-time
PAY00148,POL0024,2023-08-26,253.43,iDEAL,On-time
PAY00149,POL0024,2023-10-28,253.43,iDEAL,On-time
PAY00150,POL0024,2023-11-24,253.43,iDEAL,On-time
PAY00151,POL0024,2023-12-26,253.43,iDEAL,On-time
PAY00152,POL0024,2024-04-01,253.43,Bank Transfer,Late
PAY00153,POL0024,2024-06-21,253.43,iDEAL,On-time
PAY00154,POL0024,2024-08-05,253.43,Bank Transfer,Late
PAY00155,POL0025,2022-01-21,120.56,Bank Transfer,Late
PAY00156,POL0025,2022-04-01,120.56,iDEAL,On-time
PAY00157,POL0025,2022-05-01,120.56,Direct Debit,On-time
PAY00158,POL0025,2022-07-30,120.56,Direct Debit,On-time
PAY00159,POL0025,2022-08-31,120.56,iDEAL,On-time
PAY00160,POL0026,2023-11-14,105.61,Bank Transfer,On-time
PAY00161,POL0026,2024-01-02,105.61,iDEAL,Late
PAY00162,POL0026,2024-01-12,0.0,Bank Transfer,Missed
PAY00163,POL0026,2024-02-12,105.61,Bank Transfer,On-time
PAY00164,POL0026,2024-03-15,105.61,iDEAL,On-time
PAY00165,POL0026,2024-04-14,105.61,iDEAL,On-time
PAY00166,POL0026,2024-05-14,105.61,iDEAL,On-time
PAY00167,POL0026,2024-06-12,105.61,Direct Debit,On-time
PAY00168,POL0026,2024-07-11,105.61,Bank Transfer,On-time
PAY00169,POL0026,2024-09-11,105.61,iDEAL,On-time
PAY00170,POL0026,2024-11-08,105.61,iDEAL,On-time
PAY00171,POL0027,2024-02-08,169.34,Bank Transfer,On-time
PAY00172,POL0027,2024-03-06,0.0,Bank Transfer,Missed
PAY00173,POL0027,2024-04-07,169.34,Direct Debit,On-time
PAY00174,POL0027,2024-05-05,0.0,iDEAL,Missed
PAY00175,POL0027,2024-07-05,169.34,iDEAL,On-time
PAY00176,POL0027,2024-09-05,169.34,Direct Debit,On-time
PAY00177,POL0028,2022-08-15,131.46,Direct Debit,On-time
PAY00178,POL0028,2022-10-15,131.46,Bank Transfer,On-time
PAY00179,POL0028,2022-11-14,131.46,iDEAL,On-time
PAY00180,POL0028,2023-01-15,131.46,Bank Transfer,On-time
PAY00181,POL0028,2023-02-11,131.46,Direct Debit,On-time
PAY00182,POL0028,2023-03-31,131.46,iDEAL,Late
PAY00183,POL0028,2023-05-15,131.46,Direct Debit,On-time
PAY00184,POL0028,2023-06-14,131.46,Direct Debit,On-time
PAY00185,POL0029,2023-12-19,218.59,Direct Debit,On-time
PAY00186,POL0029,2024-03-19,218.59,Direct Debit,On-time
PAY00187,POL0029,2024-06-17,218.59,iDEAL,On-time
PAY00188,POL0029,2024-07-17,218.59,iDEAL,On-time
PAY00189,POL0030,2023-11-06,183.99,iDEAL,On-time
PAY00190,POL0030,2023-12-05,183.99,Bank Transfer,On-time
PAY00191,POL0030,2024-01-03,183.99,iDEAL,On-time
PAY00192,POL0030,2024-03-03,183.99,iDEAL,On-time
PAY00193,POL0030,2024-04-02,183.99,Bank Transfer,On-time
PAY00194,POL0030,2024-05-04,183.99,Bank Transfer,On-time
PAY00195,POL0030,2024-06-03,183.99,Direct Debit,On-time
PAY00196,POL0030,2024-07-03,183.99,Direct Debit,On-time
PAY00197,POL0030,2024-08-15,183.99,iDEAL,Late
PAY00198,POL0030,2024-08-30,0.0,Direct Debit,Missed
PAY00199,POL0031,2022-06-05,126.72,iDEAL,Late
PAY00200,POL0031,2022-07-27,126.72,Bank Transfer,On-time
PAY00201,POL0031,2022-08-28,126.72,Direct Debit,On-time
PAY00202,POL0031,2023-01-25,126.72,iDEAL,On-time
PAY00203,POL0031,2023-02-24,126.72,Direct Debit,On-time
PAY00204,POL0032,2024-04-11,174.25,Direct Debit,Late
PAY00205,POL0032,2024-06-02,174.25,iDEAL,On-time
PAY00206,POL0032,2024-07-02,174.25,Bank Transfer,On-time
PAY00207,POL0032,2024-08-23,174.25,Bank Transfer,Late
PAY00208,POL0032,2024-09-03,174.25,iDEAL,On-time
PAY00209,POL0032,2024-10-01,174.25,iDEAL,On-time
PAY00210,POL0032,2025-01-29,174.25,Direct Debit,On-time
PAY00211,POL0032,2025-03-02,174.25,Direct Debit,On-time
PAY00212,POL0033,2022-07-04,219.96,Direct Debit,On-time
PAY00213,POL0033,2022-08-05,219.96,iDEAL,On-time
PAY00214,POL0033,2022-09-03,219.96,iDEAL,On-time
PAY00215,POL0033,2022-12-03,219.96,Direct Debit,On-time
PAY00216,POL0033,2023-01-02,219.96,iDEAL,On-time
PAY00217,POL0033,2023-01-29,219.96,Bank Transfer,On-time
PAY00218,POL0033,2023-03-31,219.96,Direct Debit,On-time
PAY00219,POL0033,2023-05-31,219.96,Bank Transfer,On-time
PAY00220,POL0033,2023-06-28,219.96,Bank Transfer,On-time
PAY00221,POL0034,2023-06-24,248.26,Bank Transfer,On-time
PAY00222,POL0034,2023-09-22,248.26,iDEAL,On-time
PAY00223,POL0034,2023-10-24,248.26,Bank Transfer,On-time
PAY00224,POL0034,2023-11-22,248.26,iDEAL,On-time
PAY00225,POL0034,2023-12-23,248.26,iDEAL,On-time
PAY00226,POL0034,2024-01-20,248.26,Direct Debit,On-time
PAY00227,POL0034,2024-02-18,248.26,Direct Debit,On-time
PAY00228,POL0034,2024-04-18,0.0,Direct Debit,Missed
PAY00229,POL0034,2024-05-19,248.26,Bank Transfer,On-time
PAY00230,POL0034,2024-06-20,248.26,iDEAL,On-time
PAY00231,POL0035,2022-09-02,0.0,Bank Transfer,Missed
PAY00232,POL0035,2022-11-13,43.55,Direct Debit,Late
PAY00233,POL0035,2022-12-02,43.55,Bank Transfer,On-time
PAY00234,POL0035,2023-01-02,43.55,Direct Debit,On-time
PAY00235,POL0035,2023-02-09,43.55,iDEAL,Late
PAY00236,POL0035,2023-05-02,43.55,Bank Transfer,On-time
PAY00237,POL0035,2023-07-16,43.55,iDEAL,Late
PAY00238,POL0035,2023-08-29,43.55,Direct Debit,On-time
PAY00239,POL0036,2021-10-09,123.69,iDEAL,Late
PAY00240,POL0036,2021-10-29,123.69,Direct Debit,On-time
PAY00241,POL0036,2022-01-04,123.69,Direct Debit,Late
PAY00242,POL0036,2022-01-27,123.69,Bank Transfer,On-time
PAY00243,POL0036,2022-03-28,123.69,iDEAL,On-time
PAY00244,POL0036,2022-04-29,123.69,iDEAL,On-time
PAY00245,POL0036,2022-05-26,0.0,iDEAL,Missed
PAY00246,POL0037,2021-12-07,178.48,Bank Transfer,On-time
PAY00247,POL0037,2022-01-06,178.48,Direct Debit,On-time
PAY00248,POL0037,2022-02-04,178.48,Bank Transfer,On-time
PAY00249,POL0037,2022-04-08,178.48,Bank Transfer,On-time
PAY00250,POL0037,2022-06-05,178.48,iDEAL,On-time
PAY00251,POL0037,2022-07-07,178.48,Bank Transfer,On-time
PAY00252,POL0037,2022-08-03,178.48,Direct Debit,On-time
PAY00253,POL0037,2022-10-04,178.48,Direct Debit,On-time
PAY00254,POL0037,2022-11-03,178.48,iDEAL,On-time
PAY00255,POL0037,2022-12-02,178.48,Bank Transfer,On-time
PAY00256,POL0038,2023-12-27,184.69,Bank Transfer,On-time
PAY00257,POL0038,2024-02-25,184.69,iDEAL,On-time
PAY00258,POL0038,2024-03-26,0.0,iDEAL,Missed
PAY00259,POL0038,2024-04-26,184.69,iDEAL,On-time
PAY00260,POL0038,2024-05-27,184.69,iDEAL,On-time
PAY00261,POL0038,2024-06-25,184.69,Direct Debit,On-time
PAY00262,POL0038,2024-09-23,184.69,Bank Transfer,On-time
PAY00263,POL0038,2024-11-23,184.69,iDEAL,On-time
PAY00264,POL0038,2024-12-21,0.0,Direct Debit,Missed
PAY00265,POL0039,2023-12-04,219.82,Direct Debit,Late
PAY00266,POL0039,2024-03-20,219.82,Direct Debit,On-time
PAY00267,POL0039,2024-06-28,219.82,iDEAL,Late
PAY00268,POL0039,2024-07-18,219.82,Direct Debit,On-time
PAY00269,POL0039,2024-08-17,219.82,Direct Debit,On-time
PAY00270,POL0040,2021-05-04,186.7,Direct Debit,On-time
PAY00271,POL0040,2021-06-02,186.7,Direct Debit,On-time
PAY00272,POL0040,2021-08-01,186.7,Direct Debit,On-time
PAY00273,POL0040,2021-10-14,186.7,Bank Transfer,Late
PAY00274,POL0040,2021-10-30,186.7,iDEAL,On-time
PAY00275,POL0040,2021-11-28,186.7,Direct Debit,On-time
PAY00276,POL0040,2022-01-29,186.7,Bank Transfer,On-time
PAY00277,POL0040,2022-02-27,186.7,iDEAL,On-time
PAY00278,POL0040,2022-03-28,186.7,Bank Transfer,On-time
PAY00279,POL0041,2021-10-27,131.13,iDEAL,On-time
PAY00280,POL0041,2022-03-29,131.13,iDEAL,On-time
PAY00281,POL0041,2022-09-24,131.13,Direct Debit,On-time
PAY00282,POL0042,2021-11-20,126.87,Bank Transfer,On-time
PAY00283,POL0042,2021-12-18,0.0,Direct Debit,Missed
PAY00284,POL0042,2022-02-16,126.87,Bank Transfer,On-time
PAY00285,POL0042,2022-04-17,126.87,Direct Debit,On-time
PAY00286,POL0042,2022-05-17,126.87,iDEAL,On-time
PAY00287,POL0042,2022-06-16,126.87,Direct Debit,On-time
PAY00288,POL0042,2022-07-19,126.87,iDEAL,On-time
PAY00289,POL0042,2022-10-14,126.87,Bank Transfer,On-time
PAY00290,POL0043,2023-05-09,127.3,Direct Debit,On-time
PAY00291,POL0043,2023-07-05,0.0,Direct Debit,Missed
PAY00292,POL0043,2023-08-04,0.0,Direct Debit,Missed
PAY00293,POL0043,2023-09-03,127.3,Direct Debit,On-time
PAY00294,POL0043,2023-12-04,127.3,iDEAL,On-time
PAY00295,POL0043,2024-01-01,127.3,Bank Transfer,On-time
PAY00296,POL0043,2024-02-01,127.3,Bank Transfer,On-time
PAY00297,POL0043,2024-03-01,0.0,Bank Transfer,Missed
PAY00298,POL0043,2024-04-12,127.3,Direct Debit,Late
PAY00299,POL0044,2024-05-08,50.62,Bank Transfer,On-time
PAY00300,POL0044,2024-06-08,50.62,iDEAL,On-time
PAY00301,POL0044,2024-07-30,50.62,Direct Debit,Late
PAY00302,POL0044,2024-10-06,50.62,Bank Transfer,On-time
PAY00303,POL0044,2025-01-01,50.62,Bank Transfer,On-time
PAY00304,POL0044,2025-01-31,50.62,Direct Debit,On-time
PAY00305,POL0044,2025-03-03,50.62,Bank Transfer,On-time
PAY00306,POL0045,2023-01-07,179.57,iDEAL,On-time
PAY00307,POL0045,2023-02-05,179.57,iDEAL,On-time
PAY00308,POL0045,2023-04-05,179.57,Direct Debit,On-time
PAY00309,POL0045,2023-05-04,179.57,Bank Transfer,On-time
PAY00310,POL0045,2023-10-03,179.57,iDEAL,On-time
PAY00311,POL0045,2024-01-02,179.57,Direct Debit,On-time
PAY00312,POL0046,2023-10-12,131.12,Bank Transfer,On-time
PAY00313,POL0046,2023-12-13,131.12,iDEAL,On-time
PAY00314,POL0046,2024-03-10,131.12,iDEAL,On-time
PAY00315,POL0046,2024-06-10,131.12,Bank Transfer,On-time
PAY00316,POL0046,2024-07-07,131.12,Bank Transfer,On-time
PAY00317,POL0046,2024-09-06,131.12,Bank Transfer,On-time
PAY00318,POL0047,2022-12-08,176.23,iDEAL,On-time
PAY00319,POL0047,2023-01-04,176.23,Direct Debit,On-time
PAY00320,POL0047,2023-02-04,176.23,iDEAL,On-time
PAY00321,POL0047,2023-04-05,176.23,iDEAL,On-time
PAY00322,POL0047,2023-08-19,176.23,Bank Transfer,Late
PAY00323,POL0047,2023-09-02,176.23,iDEAL,On-time
PAY00324,POL0047,2023-10-31,176.23,Bank Transfer,On-time
PAY00325,POL0048,2021-09-12,0.0,Direct Debit,Missed
PAY00326,POL0048,2021-10-14,106.86,iDEAL,On-time
PAY00327,POL0048,2021-11-11,106.86,iDEAL,On-time
PAY00328,POL0048,2022-02-10,106.86,Bank Transfer,On-time
PAY00329,POL0048,2022-05-11,106.86,Bank Transfer,On-time
PAY00330,POL0048,2022-07-11,106.86,iDEAL,On-time
PAY00331,POL0049,2021-09-28,73.21,iDEAL,On-time
PAY00332,POL0049,2021-10-29,73.21,iDEAL,On-time
PAY00333,POL0049,2021-11-27,73.21,iDEAL,On-time
PAY00334,POL0049,2022-01-29,73.21,iDEAL,On-time
PAY00335,POL0049,2022-02-26,73.21,iDEAL,On-time
PAY00336,POL0049,2022-03-30,73.21,Direct Debit,On-time
PAY00337,POL0049,2022-04-28,73.21,Bank Transfer,On-time
PAY00338,POL0049,2022-05-26,73.21,Bank Transfer,On-time
PAY00339,POL0049,2022-06-28,73.21,Direct Debit,On-time
PAY00340,POL0049,2022-08-15,73.21,iDEAL,Late
PAY00341,POL0050,2021-10-19,275.95,Direct Debit,On-time
PAY00342,POL0050,2022-02-15,275.95,Bank Transfer,On-time
PAY00343,POL0050,2022-05-15,275.95,Bank Transfer,On-time
PAY00344,POL0050,2022-06-14,275.95,Bank Transfer,On-time
PAY00345,POL0051,2022-05-08,72.8,iDEAL,Late
PAY00346,POL0051,2022-09-24,72.8,Bank Transfer,On-time
PAY00347,POL0051,2022-10-22,0.0,Direct Debit,Missed
PAY00348,POL0051,2023-01-20,72.8,Direct Debit,On-time
PAY00349,POL0051,2023-02-19,72.8,Direct Debit,On-time
PAY00350,POL0051,2023-03-24,72.8,Direct Debit,On-time
PAY00351,POL0051,2023-04-21,72.8,Bank Transfer,On-time
PAY00352,POL0052,2021-10-01,168.31,iDEAL,On-time
PAY00353,POL0052,2021-12-01,168.31,Bank Transfer,On-time
PAY00354,POL0052,2022-04-29,168.31,iDEAL,On-time
PAY00355,POL0052,2022-06-26,168.31,iDEAL,On-time
PAY00356,POL0052,2022-07-27,168.31,Bank Transfer,On-time
PAY00357,POL0053,2021-09-04,155.58,Direct Debit,On-time
PAY00358,POL0053,2022-01-04,155.58,iDEAL,On-time
PAY00359,POL0053,2022-02-25,155.58,iDEAL,Late
PAY00360,POL0053,2022-04-04,155.58,Direct Debit,On-time
PAY00361,POL0053,2022-05-03,155.58,Bank Transfer,On-time
PAY00362,POL0053,2022-07-04,155.58,iDEAL,On-time
PAY00363,POL0054,2021-07-04,110.24,iDEAL,On-time
PAY00364,POL0054,2021-08-04,110.24,iDEAL,On-time
PAY00365,POL0054,2021-09-01,110.24,iDEAL,On-time
PAY00366,POL0054,2021-10-03,110.24,iDEAL,On-time
PAY00367,POL0054,2022-04-28,110.24,iDEAL,On-time
PAY00368,POL0054,2022-06-28,110.24,Direct Debit,On-time
PAY00369,POL0055,2023-02-25,122.85,Direct Debit,On-time
PAY00370,POL0055,2023-04-27,122.85,Direct Debit,On-time
PAY00371,POL0055,2023-08-25,122.85,Direct Debit,On-time
PAY00372,POL0055,2023-09-24,122.85,iDEAL,On-time
PAY00373,POL0055,2023-12-20,0.0,iDEAL,Missed
PAY00374,POL0055,2024-01-21,122.85,Bank Transfer,On-time
PAY00375,POL0055,2024-02-21,122.85,Direct Debit,On-time
PAY00376,POL0056,2024-01-24,183.75,iDEAL,On-time
PAY00377,POL0056,2024-02-22,183.75,Bank Transfer,On-time
PAY00378,POL0056,2024-03-25,183.75,Direct Debit,On-time
PAY00379,POL0056,2024-04-22,183.75,Bank Transfer,On-time
PAY00380,POL0056,2024-05-24,183.75,Direct Debit,On-time
PAY00381,POL0056,2024-06-21,183.75,Direct Debit,On-time
PAY00382,POL0056,2024-07-22,183.75,iDEAL,On-time
PAY00383,POL0056,2024-08-19,183.75,Bank Transfer,On-time
PAY00384,POL0056,2024-11-26,183.75,Bank Transfer,Late
PAY00385,POL0057,2022-01-09,107.77,Direct Debit,On-time
PAY00386,POL0057,2022-03-07,107.77,Direct Debit,On-time
PAY00387,POL0057,2022-04-09,107.77,Direct Debit,On-time
PAY00388,POL0057,2022-09-05,107.77,Bank Transfer,On-time
PAY00389,POL0058,2021-09-10,82.24,Direct Debit,On-time
PAY00390,POL0058,2021-10-11,82.24,Direct Debit,On-time
PAY00391,POL0058,2021-11-12,82.24,Bank Transfer,On-time
PAY00392,POL0058,2021-12-12,82.24,Direct Debit,On-time
PAY00393,POL0058,2022-01-10,82.24,Direct Debit,On-time
PAY00394,POL0058,2022-02-08,82.24,Bank Transfer,On-time
PAY00395,POL0058,2022-04-09,82.24,Direct Debit,On-time
PAY00396,POL0058,2022-06-07,82.24,Direct Debit,On-time
PAY00397,POL0058,2022-07-09,82.24,Direct Debit,On-time
PAY00398,POL0058,2022-08-09,82.24,iDEAL,On-time
PAY00399,POL0058,2022-09-07,82.24,Direct Debit,On-time
PAY00400,POL0059,2022-07-24,67.3,iDEAL,On-time
PAY00401,POL0059,2022-08-23,67.3,Direct Debit,On-time
PAY00402,POL0059,2022-09-22,67.3,iDEAL,On-time
PAY00403,POL0059,2022-10-21,67.3,Direct Debit,On-time
PAY00404,POL0059,2022-11-20,67.3,Direct Debit,On-time
PAY00405,POL0059,2022-12-21,67.3,iDEAL,On-time
PAY00406,POL0059,2023-01-18,67.3,iDEAL,On-time
PAY00407,POL0059,2023-02-17,67.3,Direct Debit,On-time
PAY00408,POL0059,2023-03-19,0.0,Bank Transfer,Missed
PAY00409,POL0059,2023-04-20,67.3,iDEAL,On-time
PAY00410,POL0059,2023-05-18,0.0,iDEAL,Missed
PAY00411,POL0059,2023-06-17,0.0,Bank Transfer,Missed
PAY00412,POL0059,2023-07-17,0.0,Direct Debit,Missed
PAY00413,POL0060,2021-02-27,214.6,Direct Debit,On-time
PAY00414,POL0060,2021-04-27,214.6,Bank Transfer,On-time
PAY00415,POL0060,2021-06-25,214.6,iDEAL,On-time
PAY00416,POL0060,2021-07-27,214.6,Bank Transfer,On-time
PAY00417,POL0060,2021-08-23,214.6,Bank Transfer,On-time
PAY00418,POL0060,2021-09-25,214.6,iDEAL,On-time
PAY00419,POL0061,2023-03-17,46.0,iDEAL,On-time
PAY00420,POL0061,2023-05-09,46.0,Bank Transfer,Late
PAY00421,POL0061,2023-05-13,46.0,iDEAL,On-time
PAY00422,POL0061,2023-08-11,46.0,Bank Transfer,On-time
PAY00423,POL0061,2023-10-20,46.0,iDEAL,Late
PAY00424,POL0061,2024-01-10,46.0,Bank Transfer,On-time
